portfolio,model_key,model_label,model_type,selected_arima_order,predictor_source,predictor_set,predictor_columns,n_predictors,n_obs,aic,bic,llf,in_sample_rmse,in_sample_mae,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_share,top_significant_terms,rmse,mae,directional_accuracy,n_forecasts,is_preferred_predictive,is_benchmark,rmse_vs_benchmark_pct
big_lobm_vwret_pct,benchmark_arima,Benchmark ARIMA,arima,"(2, 0, 2)",authoritative_fama_french_cached,none,,0,1183,7266.734691016434,7297.174309321193,-3627.367345508217,5.244064451621856,3.8073482891011854,0.9876382717660925,0.09105407828206243,1.0,"ar.L2 (negative, p=0.000); ma.L2 (positive, p=0.000); ma.L1 (positive, p=0.000)",4.700277180385943,3.628992959169013,0.625,120,False,True,0.0
big_lobm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,arima,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct",4,1183,7272.101809030282,7322.834506204879,-3626.050904515141,5.238398787524844,3.812832858163551,0.9891918244979347,0.1095517116113135,0.5,"ma.L2 (positive, p=0.000); ar.L2 (negative, p=0.000); ma.L1 (positive, p=0.000)",4.733002961689977,3.626762530864464,0.65,120,True,False,0.6962521580769178
big_lobm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,regression,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"target_lag1_pct, ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct, value_spread_lag1_pct, size_spread_lag1_pct, market_vol_12m_lag1_pct, market_momentum_12m_lag1_pct",9,1183,7303.648789512186,7354.40687815197,-3641.824394756093,5.2568223076996805,3.8068901509108097,0.08386977769616093,0.0007429767367162571,0.0,No non-constant terms are significant at the 10% level.,4.742395757627087,3.6525674274583766,0.6583333333333333,120,False,False,0.8960870949675718
