parameter,estimate,std_error,t_stat,pvalue
const,0.6110802141094848,0.4489637811159185,1.361090225564786,0.1734851781811586
target_lag1_pct,0.5299198532745173,0.29297373865622195,1.8087622996692208,0.07048793962138641
ff_mkt_rf_lag1_pct,-0.44350497515195975,0.27402575676781116,-1.6184791545991517,0.10555937563568589
ff_smb_lag1_pct,19.304262429477898,41.715478910855715,0.46276017760050947,0.6435362783449942
ff_hml_lag1_pct,-34.203007964513304,28.43058585367935,-1.2030356370615174,0.22896253020438573
ff_rf_lag1_pct,-0.3981398930850193,0.6498176668691696,-0.6126947809887391,0.5400781740635414
value_spread_lag1_pct,34.18875958922939,28.408651980271287,1.2034629313975251,0.22879722767309574
size_spread_lag1_pct,-19.279545288424924,41.72848600771621,-0.46202359905556734,0.6440643972075376
market_vol_12m_lag1_pct,0.04714903235470882,0.08433921085693681,0.5590404732940522,0.5761340985522234
market_momentum_12m_lag1_pct,-0.004055477294691711,0.15757790264859572,-0.025736332483975045,0.9794676443154767
