parameter,estimate,std_error,z_stat,pvalue
const,0.8618030686585464,0.22673986265404789,3.8008449796648978,0.00014420350073066147
ff_mkt_rf_lag1_pct,0.08767113817587058,0.025256466987740676,3.4712352372335205,0.0005180699393966628
ff_smb_lag1_pct,-0.022327003068462137,0.041081479709094794,-0.5434809852654672,0.5867986793494568
ff_hml_lag1_pct,0.1606269068746434,0.032252548276735876,4.980285759017231,6.349045385168883e-07
ff_rf_lag1_pct,-0.043385790126592896,0.6897386805780894,-0.06290177910600873,0.9498447181304466
ar.L1,0.49994491905743454,0.005208890880482369,95.97914998195108,0.0
ar.L2,-0.9852747240465773,0.004232435256740833,-232.79144612486843,0.0
ma.L1,-0.5122129015294412,1.1206972733607816,-0.4570484052249019,0.6476362537336725
ma.L2,1.000005733695688,4.378110235047536,0.22841035972335,0.8193272364116169
sigma2,30.555956705070397,133.82332798337208,0.22833056960642212,0.8193892610538406
