portfolio,model_key,model_label,model_type,selected_arima_order,predictor_source,predictor_set,predictor_columns,n_predictors,n_obs,aic,bic,llf,in_sample_rmse,in_sample_mae,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_share,top_significant_terms,rmse,mae,directional_accuracy,n_forecasts,is_preferred_predictive,is_benchmark,rmse_vs_benchmark_pct
me2_bm2_vwret_pct,benchmark_arima,Benchmark ARIMA,arima,"(2, 0, 2)",authoritative_fama_french_cached,none,,0,1183,7389.8805292917605,7420.320147596519,-3688.9402646458802,5.5132899602653636,3.691208116585667,0.057018697762606034,0.00032801817796316966,1.0,"ar.L2 (negative, p=0.000); ma.L2 (positive, p=0.000); ma.L1 (positive, p=0.000)",4.806963649724421,3.4897143815028833,0.5833333333333334,120,False,True,0.0
me2_bm2_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,arima,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct",4,1183,7416.461516910523,7467.19421408512,-3698.2307584552614,5.591358482559689,3.726942472338339,1.610140746873591e-05,2.015496629755075e-07,0.5,"ar.L2 (negative, p=0.000); ar.L1 (positive, p=0.000); ff_hml_lag1_pct (positive, p=0.000)",4.667688846662423,3.3889999216735047,0.5916666666666667,120,True,False,-2.897355029301755
me2_bm2_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,regression,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"target_lag1_pct, ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct, value_spread_lag1_pct, size_spread_lag1_pct, market_vol_12m_lag1_pct, market_momentum_12m_lag1_pct",9,1183,7421.3684383675745,7472.126527007358,-3700.6842191837873,5.52498997152203,3.73132437986763,2.9691714169909226e-06,2.0931683995494162e-08,0.0,"target_lag1_pct (positive, p=0.070)",4.739757455459027,3.4574417462080294,0.5916666666666667,120,False,False,-1.3981007380666697
