parameter,estimate,std_error,z_stat,pvalue
const,1.182524988329855,0.3861563640910126,3.0622957389643006,0.002196463258563951
ff_mkt_rf_lag1_pct,0.023226009325506957,0.12421090848190103,0.18698848281019742,0.8516696630675524
ff_smb_lag1_pct,-0.17960340318556572,0.11145839176647039,-1.611394174445599,0.107093836156945
ff_hml_lag1_pct,0.12619219066907783,0.048756592712903335,2.5882077406873703,0.009647677729050534
ff_rf_lag1_pct,-0.8745563124783573,1.0362098966565756,-0.8439953288423435,0.398672015863451
ma.L1,0.17940384115952487,0.10948942596129976,1.638549472557625,0.10130712269939812
ma.L2,0.06658841704236665,0.024861021738824655,2.6784264034642495,0.007396898567711589
sigma2,54.085789565525126,1.3677479748416939,39.54368097074692,0.0
