parameter,estimate,std_error,t_stat,pvalue
const,-0.16503212052448846,0.6553105628776393,-0.25183802897940394,0.8011662615511191
target_lag1_pct,0.11871558923630261,0.3250743155107229,0.3651952294348111,0.7149656791062735
ff_mkt_rf_lag1_pct,0.08194780473744673,0.3472479871581917,0.23599216631345,0.8134387488984715
ff_smb_lag1_pct,43.38726691099246,56.42364278075668,0.7689554373435405,0.44191976543544786
ff_hml_lag1_pct,-70.30915907067872,40.529270043640786,-1.7347748675209738,0.08278068941893901
ff_rf_lag1_pct,-0.15075107693997813,0.9295626800674759,-0.16217419241598133,0.8711686822199729
value_spread_lag1_pct,70.4046313404652,40.500432210759975,1.7383674073917763,0.08214609582159034
size_spread_lag1_pct,-43.525590336091305,56.450576468796214,-0.7710388991359661,0.44068387515192586
market_vol_12m_lag1_pct,0.18867578592322123,0.10294754251178821,1.832737152531995,0.06684166938308125
market_momentum_12m_lag1_pct,-0.01606481132985067,0.13446241499785255,-0.11947436263216925,0.9048995501920681
