model_label,distribution,aic,bic,loglik,persistence,nu,std_resid_lb_pvalue_lag_12,std_resid_lb_pvalue_lag_24,std_resid_sq_lb_pvalue_lag_12,std_resid_sq_lb_pvalue_lag_24,std_resid_arch_lm_pvalue,volatility_param_significant_share,distribution_complexity,success,selected,selection_reason
"Student-t GARCH(1,1)",Student-t,7810.776114466193,7831.119720323655,-3901.3880572330963,0.9785430072486108,6.941993763371341,0.964177114593671,0.43817340551418277,0.9581067618598558,0.7719334066282001,0.9575009690888149,1.0,1,True,True,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant
"Gaussian GARCH(1,1)",Gaussian,7865.8351498255615,7881.092854218658,-3929.9175749127808,0.9799576708249446,,0.9634744461552922,0.4362121891875256,0.9644036576796738,0.7866801352933244,0.9650353344077702,1.0,0,True,False,
