parameter,estimate,std_error,t_stat,pvalue
omega,1.5041625086481358,0.5597849860243908,2.687036176748401,0.007208914452482756
alpha[1],0.141494137610454,0.026969370646480657,5.246475324366465,1.5503660223120495e-07
beta[1],0.8370488696381567,0.02761623215974607,30.31003160736223,8.455567735100147e-202
nu,6.941993763371341,1.3176277327598513,5.2685546841298745,1.3750208238177103e-07
