parameter,estimate,std_error,t_stat,pvalue
omega,1.453555344626048,0.49202198984783263,2.9542487421661545,0.0031343126339441725
alpha[1],0.1330536902677961,0.026052654202573078,5.1071069086947425,3.271286855414272e-07
beta[1],0.8289481633116784,0.031493999216996055,26.320828853781396,1.107746902711436e-152
nu,7.463845310300286,1.3633758707369918,5.4745323505436545,4.386685017260456e-08
