order,aic,bic,hqic,llf,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_dynamic_share,dynamic_param_count,order_complexity,selected,selection_reason
"(2, 0, 2)",8027.048235513589,8057.548562599341,8038.5412631472855,-4007.5241177567946,0.06732277846469817,1.377589092622542e-07,1.0,4,4,True,lowest BIC within 2 AIC points among models with acceptable residual autocorrelation and mostly significant dynamic terms
"(1, 0, 2)",8038.555676072792,8063.972615310919,8048.133199100873,-4014.277838036396,0.0009701716299343319,1.053992810197776e-09,0.3333333333333333,3,3,False,
"(0, 0, 2)",8038.707096422332,8059.040647812833,8046.369114844796,-4015.353548211166,0.0004577635362689437,2.406642793816538e-10,1.0,2,2,False,
"(0, 0, 1)",8043.742629329242,8058.995308595536,8049.489853420488,-4018.871314664621,0.0003053162791577158,5.241595845064098e-11,1.0,1,1,False,
"(2, 0, 0)",8045.261921554071,8065.598827242463,8052.924887009064,-4018.6309607770354,0.0003557007055335299,8.04809755673486e-11,0.5,2,2,False,
"(1, 0, 1)",8045.332762761918,8065.66966845031,8052.995728216912,-4018.666381380959,0.0003484978972001152,8.756699471380756e-11,0.0,2,2,False,
"(2, 0, 1)",8046.823770653367,8072.244902763857,8056.402477472109,-4018.4118853266837,0.00041447028016814856,7.987812622261844e-11,0.0,3,3,False,
"(1, 0, 0)",8049.519865023036,8064.775057904893,8055.267798709593,-4021.759932511518,0.0003442685425360782,9.334765577229488e-11,1.0,1,1,False,
"(0, 0, 0)",8066.658870349989,8076.8289989378945,8070.490826141027,-4031.3294351749946,1.913266769802103e-07,4.3128460575169736e-16,1.0,0,0,False,
