parameter,estimate,std_error,z_stat,pvalue
const,1.2094304504382851,0.23703528877364968,5.1023223448943815,3.3551064956122284e-07
ar.L1,-0.1589757737622358,0.07406903820570185,-2.1463188616103537,0.031847547777215456
ar.L2,-0.6093421841135126,0.04545956880048884,-13.40404672089543,5.725421375201133e-41
ma.L1,0.2912655489867471,0.07384151024978731,3.9444690120972443,7.997699426446271e-05
ma.L2,0.670489214138431,0.045175195700871994,14.8419769684692,7.841063661621017e-50
sigma2,48.67325605786735,0.8784825993410229,55.40605595873916,0.0
