distribution,loglik,aic,bic,ks_stat,ks_pvalue,loc,scale,df_param
Student-t,-3817.200000491157,7640.400000982314,7655.657705375411,0.02358145539663281,0.512044118649759,1.3669179295353349,4.180490698572868,3.080089857195344
Normal,-4034.211848899056,8072.423697798112,8082.595500726843,0.09266543332030652,2.217360248889254e-09,1.2126323849372385,7.0778554818713735,
