date,return_pct,garch_residual,conditional_sigma_pct,standardized_residual
1926-07-31,1.906,0.8085671682650146,5.601583931987711,0.144346166741823
1926-08-31,2.7028,1.6053671682650146,5.205903966012806,0.3083743339765376
1926-09-30,0.0954,-1.0020328317349854,4.876674166468082,-0.20547463240930547
1926-10-31,-2.3451,-3.4425328317349853,4.55792532222751,-0.7552850449187659
1926-11-30,2.9346,1.8371671682650148,4.446725025125165,0.4131506126159224
1926-12-31,2.621,1.5235671682650147,4.212218104219752,0.36170187074091026
1927-01-31,0.034,-1.0634328317349853,3.9862669587470294,-0.2667741129081945
1927-02-28,3.5906,2.4931671682650145,3.764070752724619,0.6623592732576394
1927-03-31,0.2556,-0.8418328317349852,3.6656056672811763,-0.22965722670310654
1927-04-30,-0.7711,-1.8685328317349854,3.471215474578518,-0.5382935301536895
1927-05-31,5.1423,4.044867168265014,3.3579047442575045,1.2045806764418536
1927-06-30,-3.0033,-4.100732831734986,3.5260401183651187,-1.1629853019472531
1927-07-31,6.8071,5.709667168265015,3.66993290386512,1.5557960643508433
1927-08-31,1.1524,0.0549671682650148,4.068635561237687,0.013509975872180028
1927-09-30,4.4202,3.322767168265015,3.8166461594804564,0.8705986956667026
1927-10-31,-4.3578,-5.455232831734985,3.8011403268649455,-1.4351569167756246
1927-11-30,6.7451,5.647667168265015,4.1204089465488325,1.3706569521443694
1927-12-31,1.8708,0.7733671682650147,4.404622440188506,0.17558080829100908
1928-01-31,-0.4021,-1.4995328317349852,4.127958608350965,-0.3632625648671458
1928-02-29,-1.2169,-2.314332831734985,3.9102737381146477,-0.591859544045847
1928-03-31,6.1449,5.0474671682650145,3.77594643557466,1.336742259029647
1928-04-30,5.9428,4.845367168265015,4.0269364449163545,1.203239046491994
1928-05-31,-0.0445,-1.1419328317349853,4.19278209540987,-0.2723568279365481
1928-06-30,-4.1275,-5.224932831734986,3.9509961803831315,-1.3224342907940547
1928-07-31,0.1242,-0.9732328317349853,4.196135868016818,-0.23193549073399178
1928-08-31,5.4024,4.304967168265015,3.947643062307164,1.090515809134227
1928-09-30,1.9523,0.8548671682650146,4.044051060224316,0.2113888166925362
1928-10-31,1.4,0.3025671682650146,3.808090987896281,0.07945376547637666
1928-11-30,13.3449,12.247467168265015,3.585604684961716,3.4157326990428625
1928-12-31,0.025,-1.0724328317349854,5.702985133865868,-0.18804762884030493
1929-01-31,4.8675,3.7700671682650144,5.304086209238329,0.7107854245842659
1929-02-28,0.7548,-0.34263283173498527,5.126590871801298,-0.06683444033336651
1929-03-31,2.3223,1.2248671682650145,4.769557960911013,0.25680936856275416
1929-04-30,1.0882,-0.009232831734985236,4.469566941268543,-0.002065710583666702
1929-05-31,-4.1635,-5.260932831734985,4.176104707127041,-1.2597703363990254
1929-06-30,9.3942,8.296767168265013,4.381350343914842,1.8936552699530649
1929-07-31,6.1852,5.087767168265015,5.142913047991361,0.9892773066136351
1929-08-31,12.5055,11.408067168265013,5.148533278573322,2.2157897309787287
1929-09-30,-4.9772,-6.074632831734985,6.418302789250746,-0.9464546985705733
1929-10-31,-14.5837,-15.681132831734985,6.358549106002679,-2.466149520954628
1929-11-30,-10.4563,-11.553732831734987,8.314742871592552,-1.3895478200785372
1929-12-31,0.5554,-0.5420328317349853,8.800338964717039,-0.06159226751471084
1930-01-31,3.3456,2.248167168265015,8.106832395593806,0.27731758331243284
1930-02-28,1.8817,0.7842671682650146,7.519769160706268,0.10429404832838712
1930-03-31,8.4208,7.3233671682650145,6.944286163904822,1.0545889088399882
1930-04-30,-1.762,-2.8594328317349853,6.977104330493197,-0.4098308834566127
1930-05-31,-2.2797,-3.3771328317349854,6.533087103496264,-0.5169275685805061
1930-06-30,-13.1636,-14.261032831734987,6.172452996419654,-2.3104319854694935
1930-07-31,3.5511,2.4536671682650146,7.823506022982491,0.31362756813340104
1930-08-31,-0.6697,-1.7671328317349853,7.272823197052938,-0.24297755958800912
1930-09-30,-10.9676,-12.065032831734985,6.746027696914486,-1.7884647638273585
1930-10-31,-7.2966,-8.394032831734986,7.701282974180767,-1.0899525260760738
1930-11-30,-3.2636,-4.361032831734985,7.768458267788371,-0.5613768757460986
1930-12-31,-9.1077,-10.205132831734986,7.348368901998313,-1.388761637832282
1931-01-31,7.7855,6.688067168265015,7.785902940716598,0.8589969871432097
1931-02-28,6.8881,5.790667168265014,7.605023961126173,0.7614265514302885
1931-03-31,-9.8107,-10.908132831734985,7.343516787701875,-1.4854099400988285
1931-04-30,-11.2722,-12.369632831734986,7.914825219708475,-1.5628434600089114
1931-05-31,-16.4047,-17.502132831734983,8.645139834665489,-2.024505463931828
1931-06-30,16.1056,15.008167168265015,10.315860182292349,1.4548633757199645
1931-07-31,-10.1981,-11.295532831734985,11.028322116451486,-1.0242294986002347
1931-08-31,-1.6208,-2.7182328317349853,10.985309318654549,-0.24744253920270196
1931-09-30,-28.5717,-29.669132831734984,10.149149174675461,-2.923312321171367
1931-10-31,3.6458,2.5483671682650146,14.516491705524363,0.17554979673878185
1931-11-30,-16.8822,-17.979632831734985,13.359236287401005,-1.345857835353316
1931-12-31,-18.8422,-19.939632831734983,13.995278076491424,-1.4247400246536432
1932-01-31,1.9521,0.8546671682650147,14.862960105540505,0.05750315967990913
1932-02-29,1.6751,0.5776671682650147,13.64566819329258,0.04233337349862885
1932-03-31,-15.1175,-16.214932831734984,12.530700452186856,-1.2940164752645695
1932-04-30,-20.0111,-21.108532831734983,13.01496684425692,-1.6218660473230087
1932-05-31,-26.3287,-27.426132831734986,14.332424199322482,-1.9135725017845526
1932-06-30,0.5231,-0.5743328317349853,16.694709039792148,-0.03440208693461218
1932-07-31,47.7219,46.624467168265014,15.318954187395443,3.0435802991452245
