model_label,distribution,aic,bic,loglik,persistence,nu,std_resid_lb_pvalue_lag_12,std_resid_lb_pvalue_lag_24,std_resid_sq_lb_pvalue_lag_12,std_resid_sq_lb_pvalue_lag_24,std_resid_arch_lm_pvalue,volatility_param_significant_share,distribution_complexity,success,selected,selection_reason
"Student-t GARCH(1,1)",Student-t,6955.218517029493,6975.562122886956,-3473.6092585147467,0.9616627283702616,7.1676158691292216,0.006033174044675974,0.016428170465433968,0.3782485208495881,0.8559540848747187,0.4275585251545673,1.0,1,True,True,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant
"Gaussian GARCH(1,1)",Gaussian,6995.477100251423,7010.7348046445195,-3494.7385501257113,0.9784492082959053,,0.00500116384916636,0.014391895762621803,0.5065383599555495,0.9217443892726803,0.558284658991262,1.0,0,True,False,
