order,aic,bic,hqic,llf,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_dynamic_share,dynamic_param_count,order_complexity,selected,selection_reason
"(2, 0, 2)",7457.8109452306,7488.311272316351,7469.303972864296,-3722.9054726153,0.05673263079025594,0.0002636678905741717,1.0,4,4,True,lowest BIC within 2 AIC points among models with acceptable residual autocorrelation and mostly significant dynamic terms
"(1, 0, 2)",7478.39350531193,7503.810444550057,7487.971028340011,-3734.196752655965,4.212020019346933e-05,9.221410162989542e-08,0.6666666666666666,3,3,False,
"(0, 0, 2)",7478.48970853898,7498.8232599294815,7486.151726961444,-3735.24485426949,1.123764460203431e-05,4.059945822892322e-08,0.5,2,2,False,
"(2, 0, 1)",7480.557883682239,7505.979015792728,7490.136590500981,-3735.2789418411194,0.00010239309807347646,2.567083412298074e-07,1.0,3,3,False,
"(0, 0, 1)",7481.769229861645,7497.021909127939,7487.5164539528905,-3737.8846149308224,1.0672490916955074e-05,4.045117131298228e-08,1.0,1,1,False,
"(2, 0, 0)",7482.107074811687,7502.443980500079,7489.770040266681,-3737.0535374058436,2.669081563244519e-05,6.995085270396433e-08,1.0,2,2,False,
"(1, 0, 1)",7483.767783082577,7504.104688770969,7491.43074853757,-3737.8838915412884,1.081172365460019e-05,4.047604672779917e-08,0.0,2,2,False,
"(1, 0, 0)",7488.210061235439,7503.465254117296,7493.957994921996,-3741.1050306177194,5.214514262248265e-06,2.4113200991367494e-08,1.0,1,1,False,
"(0, 0, 0)",7507.038779012097,7517.208907600002,7510.870734803135,-3751.5193895060484,1.5334576106248124e-09,9.506440661889868e-13,1.0,0,0,False,
