distribution,loglik,aic,bic,ks_stat,ks_pvalue,loc,scale,df_param
Student-t,-3551.5946887299824,7109.189377459965,7124.447081853062,0.022820620526639107,0.5545098800264916,1.1459771123313809,3.369808906290568,3.138479564219594
Normal,-3754.175374139014,7512.350748278028,7522.522551206759,0.08186818249100114,2.048001307056345e-07,0.9622049372384938,5.599239682488943,
