parameter,estimate,std_error,t_stat,pvalue
const,0.441711746585006,0.7114966378351275,0.6208205676544072,0.534717688977062
target_lag1_pct,-0.13075565247966198,0.3825547597130337,-0.3417959106762804,0.7325044872634712
ff_mkt_rf_lag1_pct,0.2433570242131597,0.3823194039313522,0.6365280488270899,0.5244323051248221
ff_smb_lag1_pct,56.238651507113104,52.33990882212695,1.0744889086115095,0.282603613227411
ff_hml_lag1_pct,-46.76475208800922,36.687328279200095,-1.2746840470943348,0.20242109557482413
ff_rf_lag1_pct,0.43996081418096666,0.8686663039411329,0.5064785087033623,0.6125207730262564
value_spread_lag1_pct,47.09453141377889,36.63258443902127,1.2855912880559277,0.19858573878087427
size_spread_lag1_pct,-56.287671276326336,52.36308990560298,-1.0749493847249723,0.2823973900412866
market_vol_12m_lag1_pct,0.10030820313301271,0.11466675324628409,0.8747801807692965,0.3816935230483035
market_momentum_12m_lag1_pct,-0.011673576076250499,0.21133078506690645,-0.05523840775282547,0.9559485306693415
