portfolio,model_key,model_label,model_type,selected_arima_order,predictor_source,predictor_set,predictor_columns,n_predictors,n_obs,aic,bic,llf,in_sample_rmse,in_sample_mae,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_share,top_significant_terms,rmse,mae,directional_accuracy,n_forecasts,is_preferred_predictive,is_benchmark,rmse_vs_benchmark_pct
big_hibm_vwret_pct,benchmark_arima,Benchmark ARIMA,arima,"(2, 0, 2)",authoritative_fama_french_cached,none,,0,1183,7952.704713233935,7983.144331538693,-3970.3523566169674,6.99635882246906,4.634991895096834,0.06575982046297785,1.3563995217287919e-07,1.0,"ma.L2 (positive, p=0.000); ar.L2 (negative, p=0.000); ma.L1 (positive, p=0.000)",6.456978403659958,4.831571817582142,0.5583333333333333,120,False,True,0.0
big_hibm_vwret_pct,arimax_exog,ARIMAX with lagged Fama-French factors,arima,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct",4,1183,7954.539423414701,8005.272120589298,-3967.2697117073503,6.979462856396494,4.64602578379676,0.07610444459069056,5.457076806093379e-07,0.625,"ma.L2 (positive, p=0.000); ar.L2 (negative, p=0.000); ma.L1 (positive, p=0.000)",6.471274850397867,4.839218639595443,0.525,120,False,False,0.2214107875876619
big_hibm_vwret_pct,predictive_regression,Predictive regression with lagged factors and internal signals,regression,"(2, 0, 2)",authoritative_fama_french_cached,fama_french_plus_internal,"target_lag1_pct, ff_mkt_rf_lag1_pct, ff_smb_lag1_pct, ff_hml_lag1_pct, ff_rf_lag1_pct, value_spread_lag1_pct, size_spread_lag1_pct, market_vol_12m_lag1_pct, market_momentum_12m_lag1_pct",9,1183,7985.203163414128,8035.961252053911,-3982.601581707064,7.011758922308987,4.644420660086567,0.000437756199149857,5.222252730971596e-10,0.0,No non-constant terms are significant at the 10% level.,6.1340293838474,4.562362920056854,0.625,120,True,False,-5.001550254984647
