model_label,distribution,success,convergence_flag,omega,alpha,beta,persistence,nu,loglik,aic,bic,volatility_param_significant_share,arima_resid_arch_lm_pvalue,std_resid_lb_pvalue_lag_12,std_resid_lb_pvalue_lag_24,std_resid_sq_lb_pvalue_lag_12,std_resid_sq_lb_pvalue_lag_24,std_resid_arch_lm_pvalue,selection_reason,portfolio
"Student-t GARCH(1,1)",Student-t,True,0,1.5041625086481358,0.141494137610454,0.8370488696381567,0.9785430072486108,6.941993763371341,-3901.3880572330963,7810.776114466193,7831.119720323655,1.0,7.277616038272937e-41,0.964177114593671,0.43817340551418277,0.9581067618598558,0.7719334066282001,0.9575009690888149,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,small_lobm_vwret_pct
"Student-t GARCH(1,1)",Student-t,True,0,1.3653710625929427,0.12821151349626217,0.8415055420195533,0.9697170555158154,6.6022949830057645,-3753.340833852136,7514.681667704272,7535.025273561734,1.0,3.493474236902607e-62,0.09649703994701915,0.0327802886461313,0.8625341092898471,0.419329494557816,0.8717475067518293,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,me1_bm2_vwret_pct
"Student-t GARCH(1,1)",Student-t,True,0,1.3283437446317772,0.1280559712912246,0.8502155166746026,0.9782714879658272,5.620584769628694,-3848.738243661327,7705.476487322654,7725.820093180117,1.0,1.0895623044320369e-74,0.21144879849441797,0.08354823001750204,0.9682495647115347,0.918070911137463,0.9680291709970246,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,small_hibm_vwret_pct
"Student-t GARCH(1,1)",Student-t,True,0,0.9191740601632518,0.123149486995925,0.8436757725954134,0.9668252595913384,8.747404324285494,-3522.8249534911383,7053.649906982277,7073.993512839739,1.0,1.3302615923507076e-33,0.6696228315281888,0.426277117857776,0.6281100939978301,0.17401309564389006,0.6321430011683551,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,big_lobm_vwret_pct
"Student-t GARCH(1,1)",Student-t,True,0,1.0038574982964446,0.13199120599494585,0.8296715223753157,0.9616627283702616,7.1676158691292216,-3473.6092585147467,6955.218517029493,6975.562122886956,1.0,1.227737035166975e-70,0.006033174044675974,0.016428170465433968,0.3782485208495881,0.8559540848747187,0.4275585251545673,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,me2_bm2_vwret_pct
"Student-t GARCH(1,1)",Student-t,True,0,1.453555344626048,0.1330536902677961,0.8289481633116784,0.9620018535794745,7.463845310300286,-3716.1808802506375,7440.361760501275,7460.705366358738,1.0,4.433718173813377e-65,0.06151275845106414,0.007799256866639649,0.6114046236333472,0.7958768052757238,0.6703789295773968,lowest BIC within 2 AIC points among models whose standardized residuals pass the variance-diagnostic screen and whose core volatility parameters are mostly significant,big_hibm_vwret_pct
