date,return_pct,arima_fitted_pct,arima_residual_pct,conditional_sigma_pct,standardized_residual
1926-07-31,0.8807,1.2403378705263937,-0.3596378705263936,5.269988981207464,-0.06824262286104307
1926-08-31,1.4677,0.7419049594585154,0.7257950405414846,4.97522918062869,0.14588173010550043
1926-09-30,-0.0599,1.858907338100822,-1.9188073381008222,4.718327796876201,-0.4066710539634785
1926-10-31,-4.3615,-0.7533513018016329,-3.6081486981983675,4.53558582049518,-0.7955198823256842
1926-11-30,3.6237,-2.904468524364569,6.528168524364569,4.510608262112731,1.4472922818854657
1926-12-31,1.7773,1.5766928091665886,0.2006071908334115,4.893902659968042,0.04099125069944107
1927-01-31,-0.2885,2.674097751190361,-2.962597751190361,4.639485617366825,-0.6385616845325638
1927-02-28,6.3754,2.3728382253066433,4.002561774693357,4.539156605268154,0.881785345332209
1927-03-31,-1.0076,2.878393354873918,-3.885993354873918,4.556063615745552,-0.852927808436234
1927-04-30,0.8706,1.2153169118292448,-0.3447169118292448,4.557325835403414,-0.07564017239042345
1927-05-31,3.3109,0.4454193049251064,2.865480695074894,4.34258207786572,0.6598564272809812
1927-06-30,1.3233,0.5382409881153707,0.7850590118846292,4.2763583541205685,0.1835812031814804
1927-07-31,5.2595,0.6685548111047883,4.590945188895212,4.102828846073567,1.1189706812383302
1927-08-31,-2.3003,1.46619543014329,-3.76649543014329,4.269999009971423,-0.8820834434264885
1927-09-30,2.2367,1.0740834549706266,1.1626165450293733,4.3043375123427206,0.2701034808946932
1927-10-31,-2.1686,1.3775472154518105,-3.5461472154518106,4.138781861846793,-0.856809402820148
1927-11-30,7.9528,1.0806211147444833,6.872178885255517,4.170399672107288,1.6478465915913114
1927-12-31,2.665,1.9900862209991523,0.6749137790008477,4.696387638311707,0.14370912943708172
1928-01-31,2.6832,1.7302136447748413,0.9529863552251585,4.470354190055602,0.21317916091416134
1928-02-29,-1.7699,1.3071492596060237,-3.0770492596060235,4.277676163721739,-0.7193273033854145
1928-03-31,8.6296,0.5163003490119451,8.113299650988054,4.240000924615198,1.913513651350059
1928-04-30,10.7789,1.3021818218855359,9.476718178114464,4.993318685929517,1.897879701693895
1928-05-31,1.9725,2.006197606090862,-0.03369760609086225,5.819043493916705,-0.0057909184088570775
1928-06-30,-8.5169,1.2460932276648171,-9.762993227664817,5.464426835969239,-1.7866454288308042
1928-07-31,-0.3806,-0.3423262597111101,-0.03827374028888991,6.222001829339724,-0.006151354714878235
1928-08-31,5.0112,0.061172209572877945,4.9500277904271215,5.82606394309563,0.8496349917843445
1928-09-30,4.4691,1.4262638860101788,3.0428361139898215,5.750665117083314,0.5291276838483546
1928-10-31,3.1403,2.2698096006266457,0.8704903993733542,5.511912222048398,0.1579289299802842
1928-11-30,11.1459,2.2762397397995855,8.869660260200414,5.198889502231071,1.7060682394565327
1928-12-31,-0.7061,2.575261137878635,-3.281361137878635,5.8477752156283245,-0.5611298343187193
1929-01-31,1.9011,0.9720118695981086,0.9290881304018914,5.614480391158707,0.1654806973526802
1929-02-28,1.1291,0.17457477067154925,0.9545252293284507,5.291720871893775,0.18038087277019393
1929-03-31,-3.3714,-0.014937906197828532,-3.3564620938021714,5.004626440369976,-0.6706718540922785
1929-04-30,2.7887,-0.024431832898266448,2.813131832898266,4.887368360398851,0.5755923485719605
1929-05-31,-9.4383,1.169393974960805,-10.607693974960805,4.741361850223297,-2.237267331634102
1929-06-30,9.5386,0.889260359978276,8.649339640021724,5.891486465996908,1.468108208334508
1929-07-31,-0.5054,2.757722837628072,-3.263122837628072,6.3376134218225,-0.5148819627262308
1929-08-31,-0.6976,2.4211763437664597,-3.1187763437664597,6.0439989222065345,-0.5160120615355539
1929-09-30,-4.2674,1.635136664176702,-5.9025366641767025,5.775169873517248,-1.0220542067937275
1929-10-31,-19.6471,0.5453542283354855,-20.192454228335485,5.822253793808813,-3.468150812973398
1929-11-30,-9.5797,-1.393687007397143,-8.186012992602858,9.064635234946461,-0.9030714177051171
1929-12-31,-3.1726,-0.5084762710409325,-2.6641237289590673,8.893898419298328,-0.2995451042231771
1930-01-31,9.5193,1.6360097645341292,7.8832902354658705,8.296966332684672,0.9501412828940639
1930-02-28,1.0717,4.305282241375232,-3.233582241375232,8.20135263282955,-0.3942742601301382
1930-03-31,11.3312,4.018718171490551,7.3124818285094495,7.701133620321823,0.9495331712221178
1930-04-30,-1.2542,3.5493215813356604,-4.80352158133566,7.624218165916363,-0.6300346444451882
1930-05-31,-2.6937,0.8678877964729057,-3.5615877964729057,7.296528340012555,-0.4881208748195964
1930-06-30,-16.4522,-1.0677559321299623,-15.384444067870039,6.913241641712587,-2.22535893654354
1930-07-31,3.6401,-2.7609443719850573,6.401044371985057,8.481073883218611,0.7547445594891843
1930-08-31,-1.6347,-0.1326142305906377,-1.5020857694093623,8.194324634251833,-0.1833080621593542
1930-09-30,-14.7431,1.9009841885510215,-16.644084188551023,7.626216989203791,-2.182482377843898
1930-10-31,-7.7113,1.8610839750295665,-9.572383975029567,9.264151963409809,-1.033271476206043
1930-11-30,-2.831,2.3538766163444924,-5.184876616344493,9.237708741158082,-0.5612730127811426
1930-12-31,-10.9677,2.7570511381300697,-13.72475113813007,8.753409093622832,-1.5679321040906264
1931-01-31,11.4123,1.615887678457509,9.79641232154249,9.486537858881663,1.0326646525076282
1931-02-28,11.5674,2.8608358697739016,8.706564130226099,9.455187869094946,0.9208240228292253
