order,aic,bic,hqic,llf,lb_pvalue_lag_12,lb_pvalue_lag_24,significant_dynamic_share,dynamic_param_count,order_complexity,selected,selection_reason
"(2, 0, 2)",7970.816801664572,8001.317128750324,7982.309829298269,-3979.408400832286,0.005292741169395827,5.785167343584902e-05,1.0,4,4,True,lowest BIC within 2 AIC points because no candidate met the preferred residual-and-significance filter
"(1, 0, 2)",7974.04182456411,7999.458763802237,7983.619347592191,-3982.020912282055,0.0001428032952310347,4.4444560685452516e-08,0.3333333333333333,3,3,False,
"(0, 0, 2)",7979.778038436417,8000.111589826918,7987.440056858881,-3985.8890192182084,0.0003906041151192626,2.8862079606101945e-08,1.0,2,2,False,
"(2, 0, 1)",7982.669497809071,8008.09062991956,7992.248204627813,-3986.3347489045354,0.005208693282475994,4.219931651971177e-07,1.0,3,3,False,
"(0, 0, 1)",7985.147647360362,8000.400326626655,7990.894871451607,-3989.573823680181,0.0001762957948866678,5.6711647287211795e-09,1.0,1,1,False,
"(2, 0, 0)",7986.203511789352,8006.540417477744,7993.866477244345,-3989.101755894676,0.0002710774787527107,1.1282657847639546e-08,0.5,2,2,False,
"(1, 0, 1)",7986.377682553439,8006.714588241831,7994.040648008432,-3989.1888412767194,0.0002504438004093116,1.1377315555573557e-08,0.0,2,2,False,
"(1, 0, 0)",7990.217275855747,8005.472468737605,7995.965209542304,-3992.1086379278736,0.0002323745613937618,1.1451246421374579e-08,1.0,1,1,False,
"(0, 0, 0)",8019.316748249808,8029.486876837714,8023.1487040408465,-4007.658374124904,2.7459663370291628e-11,8.920141713489162e-17,1.0,0,0,False,
