distribution,loglik,aic,bic,ks_stat,ks_pvalue,loc,scale,df_param
Student-t,-3829.7858074642586,7665.571614928517,7680.829319321614,0.022166782502009874,0.5918894574355058,1.4401943220431703,4.30750152639581,3.255971709156622
Normal,-4010.515975574726,8025.031951149452,8035.203754078183,0.0807192256871273,3.2070000517865674e-07,1.236130209205021,6.938889734381682,
