parameter,estimate,std_error,z_stat,pvalue
const,1.2403378705263937,0.20410338031070105,6.077007978203305,1.2244567301680083e-09
ar.L1,1.3859299921288422,0.03925571116173985,35.30518110902609,4.890047736075467e-273
ar.L2,-0.8439180093103211,0.033944879067877215,-24.86142335704885,1.9457877187166406e-136
ma.L1,-1.2891828638598597,0.04747254589205181,-27.156387752857043,2.1283182277330088e-162
ma.L2,0.7395650756329022,0.042687316893931175,17.325171255681465,3.037897583766341e-67
sigma2,46.38808204387736,0.9277772203222272,49.99916038870438,0.0
