column,count,mean,std,min,p25,median,p75,max
small_lobm_vwret_dec,1195,0.009743094560669454,0.07432095011822695,-0.32394599999999996,-0.0304765,0.011085000000000001,0.050057000000000004,0.595683
me1_bm2_vwret_dec,1195,0.012361302092050209,0.06941794858952913,-0.32001199999999996,-0.020661,0.015194000000000001,0.046501,0.612364
small_hibm_vwret_dec,1195,0.01420314728033473,0.08080304275529673,-0.353242,-0.021166499999999998,0.015843,0.0485575,0.833873
big_lobm_vwret_dec,1195,0.009581884518828451,0.05266029297919826,-0.282664,-0.0177665,0.012950999999999999,0.040035499999999995,0.33685699999999996
me2_bm2_vwret_dec,1195,0.009622049372384936,0.056015839319877074,-0.285717,-0.0159925,0.012478,0.036024,0.522845
big_hibm_vwret_dec,1195,0.012126323849372385,0.07080818787624765,-0.35166400000000003,-0.0203095,0.014376,0.0445565,0.6774859999999999
