parameter,estimate,std_error,z_stat,pvalue
const,1.2776736933877457,0.3153738790125729,4.051298406158771,5.093419923345873e-05
ff_mkt_rf_lag1_pct,0.04025020790944789,0.07263483834727741,0.5541446615053505,0.579479846992861
ff_smb_lag1_pct,-0.18341657661650126,0.06314097937983723,-2.904873798569421,0.0036740120632141366
ff_hml_lag1_pct,0.14379105771427378,0.043756209186127,3.2861863582063466,0.0010155379839124241
ff_rf_lag1_pct,-0.33336708853679836,0.9693669000262988,-0.3439018688669421,0.7309200863477895
ar.L1,-0.08590405721757717,0.13752780542533077,-0.6246304661948369,0.5322136192444265
ar.L2,-0.48005240777015423,0.1206638024904605,-3.9784293040831895,6.93720313352255e-05
ma.L1,0.2456949807828055,0.1254037765488272,1.9592311136430707,0.05008572692815762
ma.L2,0.5499546264507006,0.11500222767871576,4.782121508003487,1.7345477348790809e-06
sigma2,46.408553695629195,1.0483320234644782,44.268945960708514,0.0
