date,small_lobm_vwret_pct,me1_bm2_vwret_pct,small_hibm_vwret_pct,big_lobm_vwret_pct,me2_bm2_vwret_pct,big_hibm_vwret_pct,market_proxy_pct,small_avg_pct,big_avg_pct,lobm_avg_pct,hibm_avg_pct,size_spread_pct,value_spread_pct,market_vol_12m_pct,market_momentum_12m_pct,market_drawdown,ff_mkt_rf_pct,ff_smb_pct,ff_hml_pct,ff_rf_pct,ff_mkt_total_pct,market_proxy_lag1_pct,size_spread_lag1_pct,value_spread_lag1_pct,market_vol_12m_lag1_pct,market_momentum_12m_lag1_pct,market_drawdown_lag1,ff_mkt_rf_lag1_pct,ff_smb_lag1_pct,ff_hml_lag1_pct,ff_rf_lag1_pct,ff_mkt_total_lag1_pct,predictor_source
1926-07-31,1.0866,0.8807,-0.1275,5.5746,1.906,2.0068,1.8878666666666668,0.6132666666666667,3.162466666666667,3.3306,0.9396500000000001,-2.5492000000000004,-2.39095,,,0.0,2.89,-2.55,-2.39,0.22,3.1100000000000003,,,,,,,,,,,,authoritative_fama_french_cached
1926-08-31,0.7831,1.4677,5.4422,2.7268,2.7028,5.6834,3.1343333333333327,2.5643333333333334,3.704333333333333,1.75495,5.562799999999999,-1.1399999999999997,3.8078499999999993,,,0.0,2.64,-1.14,3.81,0.25,2.89,1.8878666666666668,-2.5492000000000004,-2.39095,,,0.0,2.89,-2.55,-2.39,0.22,3.1100000000000003,authoritative_fama_french_cached
1926-09-30,-2.8045,-0.0599,-0.4399,1.4777,0.0954,-0.7872,-0.41973333333333335,-1.1014333333333333,0.2619666666666666,-0.6634,-0.61355,-1.3634,0.04984999999999995,,,-0.004197333333333497,0.38,-1.36,0.05,0.23,0.61,3.1343333333333327,-1.1399999999999997,3.8078499999999993,,,0.0,2.64,-1.14,3.81,0.25,2.89,authoritative_fama_french_cached
1926-10-31,-4.0289,-4.3615,-2.0128,-3.6327,-2.3451,-4.004,-3.3974999999999995,-3.4677333333333333,-3.3272666666666666,-3.8308,-3.0084,-0.14046666666666674,0.8224,,,-0.03802972893333345,-3.27,-0.14,0.82,0.32,-2.95,-0.41973333333333335,-1.3634,0.04984999999999995,,,-0.004197333333333497,0.38,-1.36,0.05,0.23,0.61,authoritative_fama_french_cached
1926-11-30,3.2971,3.6237,2.0877,3.212,2.9346,3.1964,3.058583333333333,3.0028333333333332,3.114333333333333,3.25455,2.6420500000000002,-0.11149999999999993,-0.6124999999999998,,,-0.00860706655086696,2.54,-0.11,-0.61,0.31,2.85,-3.3974999999999995,-0.14046666666666674,0.8224,,,-0.03802972893333345,-3.27,-0.14,0.82,0.32,-2.95,authoritative_fama_french_cached
1926-12-31,2.5645,1.7773,3.27,2.9011,2.621,2.3073,2.5735333333333332,2.537266666666667,2.6098,2.7328,2.78865,-0.0725333333333329,0.055849999999999955,,,0.0,2.62,-0.07,0.06,0.28,2.9000000000000004,3.058583333333333,-0.11149999999999993,-0.6124999999999998,,,-0.00860706655086696,2.54,-0.11,-0.61,0.31,2.85,authoritative_fama_french_cached
1927-01-31,-0.8099,-0.2885,3.9875,-0.2624,0.034,4.092,1.1254499999999998,0.9630333333333333,1.2878666666666665,-0.53615,4.03975,-0.3248333333333332,4.5759,,,0.0,-0.05,-0.32,4.58,0.25,0.2,2.5735333333333332,-0.0725333333333329,0.055849999999999955,,,0.0,2.62,-0.07,0.06,0.28,2.9000000000000004,authoritative_fama_french_cached
1927-02-28,3.9809,6.3754,6.4416,5.0212,3.5906,7.9905,5.5667,5.5993,5.5341,4.50105,7.21605,0.06520000000000081,2.715,,,0.0,4.17,0.07,2.72,0.26,4.43,1.1254499999999998,-0.3248333333333332,4.5759,,,0.0,-0.05,-0.32,4.58,0.25,0.2,authoritative_fama_french_cached
1927-03-31,-2.2271,-1.0076,-3.1144,1.2856,0.2556,-2.5905,-1.2330666666666665,-2.1163666666666665,-0.3497666666666666,-0.47075,-2.85245,-1.7666,-2.3817000000000004,,,-0.012330666666666712,0.14,-1.77,-2.38,0.3,0.44,5.5667,0.06520000000000081,2.715,,,0.0,4.17,0.07,2.72,0.26,4.43,authoritative_fama_french_cached
1927-04-30,-1.3839,0.8706,3.4837,3.0757,-0.7711,-0.4894,0.7976,0.9901333333333332,0.6050666666666665,0.8459,1.49715,0.38506666666666667,0.65125,,,-0.004453016064000059,0.47,0.39,0.65,0.25,0.72,-1.2330666666666665,-1.7666,-2.3817000000000004,,,-0.012330666666666712,0.14,-1.77,-2.38,0.3,0.44,authoritative_fama_french_cached
