date,small_lobm_vwret_pct,me1_bm2_vwret_pct,small_hibm_vwret_pct,big_lobm_vwret_pct,me2_bm2_vwret_pct,big_hibm_vwret_pct
1926-07-31,1.010866,1.008807,0.998725,1.055746,1.01906,1.020068
1926-08-31,1.018782091646,1.023613260339,1.05307761195,1.084534081928,1.0466031536800002,1.0780425447120001
1926-09-30,0.9902103478857879,1.023000115996057,1.048445123535032,1.10056024205665,1.0476016130886108,1.0695561938000273
1926-10-31,0.9503157631798174,0.9783819659368889,1.0273420200885188,1.0605801901434582,1.0230343076600699,1.0267311638002743
1926-11-30,0.9816486242076192,1.013835593236544,1.0487898394419068,1.094646025850866,1.0530562724526624,1.0595495987199863
1926-12-31,1.0068230031754235,1.031854493235137,1.083085267191657,1.1264028017068253,1.0806568773536467,1.0839965866112524
1927-01-31,0.9986687436727057,1.0288775930221536,1.1262732922209244,1.1234471207551466,1.0810243006919469,1.128353726935385
1927-02-28,1.0384247476895725,1.0944726550876882,1.1988233126126275,1.179857647582504,1.1198395592325918,1.218514831486157
1927-03-31,1.015297990133778,1.0834447486150247,1.1614871593646199,1.1950258974998247,1.1227018691459902,1.186949204776508
1927-04-30,1.0012472812483166,1.0928772185964672,1.201949887535405,1.2317813090292267,1.1140447150330055,1.1811402753683318
1927-05-31,1.0559394127392248,1.1290612904269777,1.363679456602619,1.2984527041617424,1.1713322364141479,1.2639866354229419
1927-06-30,1.0378163245983814,1.1440021584831979,1.3079186036221377,1.285900561870611,1.1361536153579217,1.2383504584832938
1927-07-31,1.082031451291571,1.2041709520086217,1.360472081034279,1.4051228324644447,1.2134927281089507,1.3282968056847695
1927-08-31,1.1089480656739,1.1764714075995673,1.370447062332422,1.461405027518808,1.2274770183076784,1.3025929341979634
1927-09-30,1.1333504678590542,1.2027855435733468,1.3755369027219246,1.538057182617197,1.2817339574709146,1.3798874963203365
1927-10-31,1.1310225659980717,1.1767019362754152,1.291718561554564,1.4831608456552239,1.225878555072247,1.2884244134017355
1927-11-30,1.2473188303242575,1.2702826878635265,1.4268852835541952,1.5865638534926148,1.3085652894904252,1.3739564680854097
1927-12-31,1.3180779802497224,1.3041357214950895,1.4618924871009138,1.626243815468465,1.333045928926212,1.4216794720478885
1928-01-31,1.3595078073249316,1.3391282911742457,1.5145834780134921,1.6190769589736955,1.3276857512459996,1.3887192551679302
1928-02-29,1.2931923759914288,1.3154270595487527,1.4520872199602213,1.608148189500623,1.311529143339087,1.3511668977889342
1928-03-31,1.383382198677823,1.4289431530795718,1.5892092682282848,1.806963550168585,1.3921212976681308,1.454925706203942
1928-04-30,1.452916521512165,1.5829675066068656,1.747745606408202,1.860008772147334,1.4748522821459524,1.520330436400634
1928-05-31,1.5501965472100123,1.614191540674686,1.7933932261563716,1.907818437626609,1.4741959728803975,1.5302110639068018
1928-06-30,1.4079877167551547,1.4767124613469635,1.67146042071,1.838457790508256,1.4133485340997591,1.4468727089443096
1928-07-31,1.40218399138669,1.471092093719077,1.6551870820539674,1.8635012625305596,1.415103912979111,1.458943967955032
1928-08-31,1.4880887936189955,1.5448114607195274,1.717531358686612,2.0267327921206615,1.4915534867738947,1.559066915643882
1928-09-30,1.5734916975735833,1.6138506297105437,1.8237589556900204,2.0876502996534323,1.5206730854961814,1.6251027539228942
1928-10-31,1.6811704549136364,1.664530381035344,1.8541482511686835,2.1150047815297914,1.541962508693128,1.6609492704689253
1928-11-30,1.826916165161464,1.8500572727751623,2.0800873404630944,2.351242355607543,1.747735863515717,1.8760970123205765
1928-12-31,1.839247849276304,1.836994018372097,2.06802907415043,2.37408467509227,1.7481727974815962,1.8985182477148197
1929-01-31,1.8439213780613148,1.8719171116553688,2.1048255154667883,2.5291480156459216,1.8332651083990128,1.94739370148399
1929-02-28,1.8575885233155052,1.8930529277630694,2.1131458907294287,2.51467370155238,1.8471025934372087,2.007515587229905
1929-03-31,1.7421059599980269,1.8292305413564653,2.0213571726738144,2.4797096784059955,1.889997856964601,2.0050844858537693
1929-04-30,1.7308205975891597,1.880242293463273,2.0361252081773693,2.5373778066870054,1.9105648136440898,2.0614113192303734
1929-05-31,1.5538078442531187,1.702779385079329,1.7735790793341466,2.388936130240202,1.8310184476280182,1.9332595617477788
1929-06-30,1.661003493620297,1.8652006995045056,1.888081344695959,2.686834076745025,2.0030279826350896,2.077028342316714
1929-07-31,1.6600085525276185,1.85577397516921,1.9611047787834197,2.784992186070751,2.1269192694170354,2.1821446696930202
1929-08-31,1.6414845170899628,1.8428280959184296,1.9516777481118077,2.986102041811292,2.3929011586539826,2.3396235040707567
1929-09-30,1.576931496970883,1.7641872497532065,1.8812807317374147,2.852453072725944,2.2738016821854563,2.1904163547221485
1929-10-31,1.2142703682290161,1.4175756166069444,1.482039097409564,2.171606753703134,1.942197266260576,1.9588280143700851
1929-11-30,1.0368848957566486,1.281776125262849,1.3195172079485338,1.8621071875586095,1.7391152935085714,1.80617458838221
1929-12-31,1.0085032823899975,1.24111049591276,1.3039178755161662,1.9224003561845695,1.748774339848718,1.831565790745687
1930-01-31,1.069325106847656,1.3592555273501834,1.414393621437149,2.0638448071915616,1.8072813341626968,1.8838496678083134
1930-02-28,1.0881334661519995,1.3738226688367954,1.4790130228197482,2.1354354558634228,1.8412889470276363,1.906734673572849
1930-03-31,1.1825867154143914,1.5294932630880305,1.6370795816075632,2.2797396422288494,1.9963402066789397,2.0088384086080016
1930-04-30,1.0986703620885863,1.5103103585823803,1.5800781076555694,2.226439329393539,1.961164692237257,1.874561622861417
1930-05-31,1.058964415202705,1.4696271284532467,1.5328827546580053,2.242057801289235,1.9164560207483243,1.8482708961007857
1930-06-30,0.8685244906303112,1.2278411340258615,1.2410326083504035,1.8453211892355021,1.664181416001098,1.6294337737315565
1930-07-31,0.9251818172520889,1.2725357791455367,1.272930869482834,1.9322837955994143,1.723278162264713,1.7153277456800418
1930-08-31,0.8901997675599701,1.2517336367638447,1.2433861440021376,1.9520162777200758,1.7117373684120263,1.6875874653769043
1930-09-30,0.767467925606477,1.0671892949621145,1.0009084385157048,1.7043873967610623,1.524000860794069,1.3980244577176737
1930-10-31,0.6870088906896707,0.9848951268597009,0.8967278827843591,1.5470264215803036,1.412800613985369,1.2374124178927788
1930-11-30,0.6917588701598992,0.9570127458183029,0.8742872675176806,1.5135719752136294,1.3666924531473426,1.1557914573961532
1930-12-31,0.6166649860096914,0.8520504588951888,0.7182838189381633,1.4215165276811366,1.242218204592042,1.034674914784153
1931-01-31,0.677404020471702,0.9492890134156844,0.834387215431328,1.485852944207457,1.3389311029105555,1.1867048733879626
1931-02-28,0.7668694468594202,1.0590970707535303,0.9763139776145505,1.6723245169996044,1.4311580162101374,1.3291557396845803
1931-03-31,0.7292054208463666,1.0278611208457964,0.9058602320479517,1.5915311749343195,1.2907513967138096,1.2103783953191471
1931-04-30,0.6385834171706845,0.8842236963743214,0.741171218420706,1.450271642440674,1.1452553177734355,1.0677909788369704
1931-05-31,0.5768081345604268,0.8067374054136469,0.639512174102122,1.284741987987423,0.9573796186586567,0.8542701557538357
1931-06-30,0.6360278721194766,0.8705188714230553,0.7761682515616561,1.4528992973111208,1.1115713505213451,1.0711104036589876
1931-07-31,0.5815902465447707,0.7924072130902645,0.7315044256937921,1.377602791227972,0.9982121926238279,0.9384576646074366
1931-08-31,0.5722853841903008,0.7832683807016945,0.7040269249514562,1.3955364243641777,0.9820331694057809,0.9389653702039892
1931-09-30,0.41352597890591697,0.5326130996565839,0.4553350459277539,1.0010685165077018,0.7014495983426694,0.6087650522565735
1931-10-31,0.43116079427635984,0.5948894189470296,0.492658404307406,1.0962691313590678,0.7270230477990465,0.6807472583305476
1931-11-30,0.39818302976533815,0.5524743982655254,0.4455006491886968,1.0293068202773932,0.6042855628235159,0.5815814437150201
1931-12-31,0.34294946897446904,0.4600553759748717,0.34214004357042727,0.9094419824424502,0.49042486850518335,0.46124817194027645
1932-01-31,0.35152972173874125,0.47837386093543915,0.38297685275086274,0.8784654790784779,0.499998452363273,0.4918533718930296
1932-02-29,0.34349550994840233,0.4897089295703044,0.38881380296363866,0.9408444342823616,0.5083739264388102,0.49359108985592764
1932-03-31,0.30612869439417534,0.43031360262951085,0.34690745128021766,0.8441077503938835,0.431520498109423,0.4206294421356041
1932-04-30,0.24592205793897848,0.3562278006055959,0.291128896003774,0.6908726499261298,0.3451684997122483,0.34662221556849737
1932-05-31,0.20657993895401658,0.2679951615847983,0.23918305821871663,0.5575818987032317,0.25429012092850956,0.25787271687212376
1932-06-30,0.20834061977372167,0.28418608927194394,0.24374547505423863,0.5475961644793556,0.2556203125510866,0.2807256549140483
1932-07-31,0.27412062867673814,0.38695090519966086,0.3976039562908254,0.7023134371951882,0.37760718248640357,0.4709133559591472
1932-08-31,0.4009910568853068,0.6035532525505594,0.7291551601349249,0.9228237032654218,0.5708601191608426,0.7661713210119728
1932-09-30,0.3944115956239327,0.5734637086979038,0.6383410724056005,0.9132355649884941,0.5330394945461985,0.7280826461305047
1932-10-31,0.3320547279441933,0.46122711202267613,0.48425575098404694,0.814990596142597,0.4392074862422421,0.5578649323743001
1932-11-30,0.3298302933216951,0.4229904619817722,0.41850011532517617,0.7927266830371735,0.3992857217802535,0.46752428522560596
1932-12-31,0.3074684590950708,0.40504847555589135,0.3750836578609964,0.8467502137594739,0.40470921973919466,0.4456530316384669
1933-01-31,0.32287508864340664,0.41219636600402615,0.4052591381359135,0.8465884844686458,0.4159459712252534,0.4896679533082401
1933-02-28,0.26673033947920466,0.3347718737920259,0.32071397673799923,0.7195511096662497,0.34613359941480687,0.4046361338803576
1933-03-31,0.2849008103955465,0.3556238094949098,0.3701741655165567,0.7263868452080791,0.3813765763736231,0.4310200283538924
1933-04-30,0.401081651469988,0.5514896681789928,0.5808450953761808,0.9710753387243369,0.5807774124476901,0.6799172849471595
1933-05-31,0.6399991728625848,0.8892020873437535,1.0011376362492406,1.1364271341763008,0.7358513701227604,0.9625364630292905
1933-06-30,0.8493749022645795,1.0984926934397654,1.1872040716343433,1.2660786966330726,0.847892835589022,1.176848094132151
1933-07-31,0.7289148548756123,0.9567135369755752,1.1013656556429654,1.1537952413434718,0.7372428205446545,1.0683332850684135
1933-08-31,0.8059538658874158,1.05989222179778,1.1940048250360622,1.2761471501212578,0.8534757863889042,1.2698369676315924
1933-09-30,0.7442717986694543,0.9098676574789696,0.9446058732018298,1.1587224701028502,0.7479264358861885,1.0236536747168556
1933-10-31,0.6809015206435423,0.797989420447698,0.8118235702117218,1.0855618920630263,0.6686065935811506,0.842008377445699
1933-11-30,0.7112956027220286,0.8384794036412142,0.8614803825308621,1.192017519008187,0.7506787215498305,0.9488794487446169
1933-12-31,0.7468646506317463,0.8692214124963157,0.8594989776510412,1.2170308146270545,0.7650519670313451,0.9806887345048827
1934-01-31,0.9076526600783512,1.1240527924406856,1.200408933148595,1.337311187067461,0.8939616933721928,1.217500546669449
1934-02-28,0.9051085096721516,1.1383552401717008,1.258614361499104,1.3052464767351444,0.8661299839724363,1.1710979483342363
1934-03-31,0.9462547425218477,1.1619909100233858,1.2584696208475317,1.3051511937423428,0.8650412585825831,1.1638324566627707
1934-04-30,0.9757627504126491,1.1403592872423904,1.2370164892209436,1.281868601597173,0.8458174466931023,1.1100261545263375
1934-05-31,0.9036685195984105,1.0259550224683722,1.0874389293773257,1.1996533950965351,0.7726178674039411,0.9600549608929022
1934-06-30,0.9375072909832927,1.024909574300477,1.0636316288964678,1.2311970814672035,0.7919982139899017,0.9875451746431096
1934-07-31,0.7683266002670296,0.8008776651828586,0.8009699254037429,1.128736860347503,0.6989899037299976,0.7585561621823893
1934-08-31,0.8522593664068001,0.8846494689609856,0.8936309321940002,1.1972636038760602,0.730108934244057,0.8023180257348534
1934-09-30,0.8444995448756661,0.8790328294825522,0.8624968305163613,1.1941686774600406,0.7288020392517601,0.8014755918078319
1934-10-31,0.8365156461784117,0.8630282787561634,0.8281392692727421,1.1892463141715504,0.7094312098504876,0.7424204657766554
1934-11-30,0.982264276759015,0.9970746940408495,0.9337129477374391,1.3112154161529845,0.7448623327640506,0.8215424420758709
1934-12-31,1.0307851852380798,1.0203643647442557,0.9486915708450432,1.321111158898691,0.7488309592730175,0.8031628945617496
1935-01-31,0.9735034217092144,0.9846403879701946,0.9197896821392489,1.2813087219033912,0.7270923965253218,0.7304043679434008
1935-02-28,0.937220949182112,0.9373018320377515,0.8616341399066306,1.2701638986402755,0.7146765667622553,0.6337996254304707
1935-03-31,0.8815087870789304,0.870053237494539,0.7639368913191774,1.2310288787592698,0.690896418679808,0.5846807882592348
1935-04-30,0.9407814379221177,0.9499345653353877,0.8445650826396773,1.331482066294905,0.7598078092717694,0.6610389298443143
1935-05-31,0.9195141327364502,0.971347990307178,0.859897317149918,1.3730962067948858,0.792724203185041,0.6871889688700255
1935-06-30,0.9709499142934618,1.029889190987011,0.8671118556408057,1.4606269706894393,0.837171456533423,0.7427227710113188
1935-07-31,1.0632979315918272,1.1663433294576437,0.9827975838611239,1.565635825493215,0.8901074820729443,0.8654369126833509
1935-08-31,1.1018594943789364,1.263154491175946,1.1258083914790915,1.6016798934677199,0.9096658137765331,0.8996649425799774
1935-09-30,1.1577259744629373,1.3328035666648965,1.1311030683442176,1.676609682243927,0.9157487490732569,0.9090682405598233
1935-10-31,1.2860286401308434,1.4748057898716411,1.2095654259891193,1.787354781585185,0.988866707943011,0.9643604981553935
1935-11-30,1.3741061696361245,1.6282903032293727,1.4489771298859977,1.8415098441124345,1.0442738984557658,1.1039680743918552
1935-12-31,1.4540956379829826,1.7931498115604372,1.4749688816418927,1.8963352751913496,1.1050109569377502,1.199586061219157
1936-01-31,1.6094613946145502,1.931885812480868,1.8224214012147466,1.9588612418849587,1.2104190571309992,1.3475310101493154
1936-02-29,1.646754224589164,2.058190575015055,1.9251950337148511,1.9964282827818283,1.2443519449786096,1.445429138036663
1936-03-31,1.6505384657972697,2.1075583341473663,1.9421386752065757,2.0484751681139506,1.2449517226160893,1.4276416870639839
1936-04-30,1.4173635956571577,1.8104705886909511,1.6405866873846011,1.9022673014649853,1.1409845593086971,1.2805960209380807
1936-05-31,1.4890921151425796,1.9107362603632445,1.7839132621545821,1.998487786107687,1.1993116899805578,1.3636388311078524
1936-06-30,1.4571451329043108,1.9044671346929927,1.7633322548491046,2.0711787823517818,1.225032128483881,1.3671733829580839
1936-07-31,1.6118312887780337,2.048821934568452,1.928611150428366,2.1937635697640543,1.3012854783534886,1.5343773205204745
1936-08-31,1.6223146394802461,2.0977355094343393,2.00953374568919,2.2002088471320214,1.3113652356688148,1.600940143061973
1936-09-30,1.6581029004271803,2.2034508904322827,2.0993438278515315,2.2184485784747454,1.325322095872038,1.6081859981494715
1936-10-31,1.719844020027487,2.3472018230731946,2.2361769592070666,2.359998908472905,1.4420710446195015,1.7466717190081171
1936-11-30,1.9065881234101114,2.5598324890235724,2.509171678564025,2.4394553517233706,1.4875698281482916,1.738224814574994
1936-12-31,1.9469315281014694,2.6484334111336567,2.6977936411567183,2.394466916126888,1.5218642629664223,1.756187629808812
1937-01-31,2.087883529941432,2.846477964751409,2.970340941548217,2.4812998643733137,1.543139925362693,1.867159369948801
1937-02-28,2.155754359849238,2.892428658536391,3.1072409852032328,2.476076728158808,1.5553523347320133,1.997617795127124
1937-03-31,2.091635757924242,2.8926108815418785,3.210078232849519,2.4330103256259417,1.55197566481331,2.1185835407110467
1937-04-30,1.8796442905871045,2.555650639951065,2.789371799808727,2.266971968963925,1.4569606106621096,1.8903548916208677
1937-05-31,1.871548662627546,2.531062725144096,2.674421787938609,2.2726189961386143,1.4465142030836622,1.8338805392336943
1937-06-30,1.7281730626809748,2.334095423873382,2.39053993841429,2.178025775662337,1.4071979470438483,1.6972729439856373
1937-07-31,1.9174512173711087,2.545120991145775,2.6486752220441416,2.378493446080074,1.519293928307414,1.8835435577692292
1937-08-31,1.828232212226831,2.4174170002940447,2.500426221191109,2.277702407808985,1.44939121466599,1.7368965069919902
1937-09-30,1.4462121220887614,1.9071679592079802,1.9234653727823667,1.9959961740111696,1.2693797245869034,1.4017414832098019
1937-10-31,1.2901340174486982,1.7142426627904195,1.7361987075536482,1.7928716273667489,1.173385421674468,1.2017368031609776
1937-11-30,1.1417131296793475,1.5072650036851043,1.5323203657230384,1.6352584897333107,1.0828775105590294,1.1041281347978336
1937-12-31,0.9778921378410469,1.3458957051255733,1.339028877829637,1.5672088429415487,1.0512109235177516,1.0286830593470977
1938-01-31,1.0264591508669225,1.427378922905286,1.390604253117001,1.587707934607224,1.047805000125554,1.0221005164503356
1938-02-28,1.1129034347163314,1.5092062744186772,1.4583225084310396,1.6892466201491598,1.1042282515773152,1.0835839509168892
1938-03-31,0.7778482750468938,1.0694114924028792,1.0143887203495132,1.2898191890750306,0.8551761948035612,0.7522413160697191
1938-04-30,0.9481604884132363,1.2904096549539037,1.2253998331791782,1.46864359090596,0.9786294302854034,0.871585153105496
1938-05-31,0.8772854919043469,1.1905861448659796,1.1578251593785125,1.4160220910437995,0.9424739659835092,0.8190756339715023
1938-06-30,1.1512889468763234,1.555999653862101,1.4777473026418675,1.7811419711973522,1.1403642821471007,1.065776300469915
1938-07-31,1.305690610119801,1.7815060156973739,1.707005019173727,1.901778716906549,1.2241707936063733,1.1640643224518514
1938-08-31,1.2456875981317455,1.6903873275125,1.5465277703161857,1.8936276933258875,1.1500582695906498,1.103743673326719
1938-09-30,1.2242181723779448,1.6482307579516657,1.5035234726070035,1.919638563321412,1.1574094420498733,1.093081509442383
1938-10-31,1.396427718468178,1.8914783014409304,1.7576805839399638,2.052748220940682,1.2406966254997822,1.2480662574216899
1938-11-30,1.3238288378127359,1.8408907142688926,1.6541584705876518,2.0289486580670957,1.2150266123181916,1.2122180503097666
1938-12-31,1.4036649835347086,1.9097952537039773,1.6792123547831725,2.0956828083795807,1.2702204112093578,1.3198375565982172
1939-01-31,1.2906390717305267,1.7393211999725993,1.5088663366645485,1.985164879796875,1.1912012696484349,1.1744534902262538
1939-02-28,1.341042399398819,1.82751174209601,1.6038102420328286,2.053383085726215,1.2281344650138846,1.2554320583773542
1939-03-31,1.1017226548869046,1.488923159102656,1.2371423330685571,1.8510735172050399,1.0594379148995774,0.9869717224459992
1939-04-30,1.0963859103466325,1.4909049158274215,1.2616179569859856,1.8486615684121217,1.0588160248435314,0.9554310671117924
1939-05-31,1.2204222411559678,1.6257259564607796,1.3861749746432979,1.9762303086019684,1.118532189828682,1.04408742669123
1939-06-30,1.1365975395221701,1.4969050573967837,1.2381439629261655,1.8890232175439807,1.0444350249134808,0.9275902397958758
1939-07-31,1.3157207653607061,1.7467938969634305,1.4065402088918644,2.1029343176754436,1.132703362173994,1.05499290405136
1939-08-31,1.1540910479399702,1.5370161774954012,1.2287422741662617,1.9698963839363421,1.0655510433475086,0.9399691377084483
1939-09-30,1.6005177011951572,2.141559991476425,1.904308462729695,2.2374989281085584,1.2457335936754856,1.3235113247515904
1939-10-31,1.6042020929433085,2.1293638073249666,1.808860713960757,2.2382395402537627,1.23548245193313,1.266482545279369
1939-11-30,1.4735590828981913,1.928745796217845,1.5600754379447364,2.179069439767614,1.1899240365180959,1.1445329409944187
1939-12-31,1.5637158482671514,1.9868492633289074,1.5645887361867106,2.2566486699622206,1.2148862629561723,1.1561304932855152
1940-01-31,1.4975925599073265,1.944489637034735,1.521068135900941,2.207945678367096,1.1842407569731028,1.0965978657947641
1940-02-29,1.5590058356040062,2.029790508432175,1.568962008296054,2.2354323941170877,1.2000977407089728,1.1128900202868768
1940-03-31,1.6321076192354782,2.087775533886557,1.6047484627432789,2.288615566205527,1.217597565963991,1.1379968191445486
1940-04-30,1.7124693341913946,2.1550895926501275,1.6703297181702084,2.2856746952029527,1.2190927757749948,1.1410216146898349
1940-05-31,1.2384629598952193,1.5620240223799609,1.128526537817056,1.7801840223106484,0.9646169115741708,0.8581212796300959
1940-06-30,1.286522753516913,1.6402408132766149,1.2185784414287057,1.8686075428828406,1.0439740156555548,0.9493678896570029
1940-07-31,1.3473418301666715,1.7167432850486493,1.2590315899488145,1.9319253094734254,1.075810003262971,0.9807388022028289
1940-08-31,1.3749960212308423,1.7693649002219602,1.2826258419444552,1.974808255567807,1.0952262222018612,1.0150430840262794
1940-09-30,1.4489543072208069,1.8479335486163164,1.3493146899705153,2.0371628262373602,1.1084631263233928,1.0257802097691093
1940-10-31,1.5099581814634173,1.9555054563483694,1.4343093716064481,2.055407656509142,1.1789192595587605,1.1088766130020853
1940-11-30,1.5268229043921822,1.96570146179777,1.4374433375834084,2.0152264922320446,1.1626336689072159,1.100725261019907
1940-12-31,1.512550163881924,1.939447553073999,1.4041032768114987,2.0270881153653226,1.1743053483093753,1.10283314989476
1941-01-31,1.445067738320332,1.8873113239522639,1.399631207874854,1.9249269285271413,1.1290828493459812,1.0859928876958669
1941-02-28,1.3949224427328784,1.8536813234707583,1.3591286799813715,1.8944206865638433,1.1123216144474402,1.081818331035564
1941-03-31,1.4020379421132587,1.8742757229745184,1.4104629702242681,1.9046713968988405,1.1257818183038686,1.1183286178896834
1941-04-30,1.2960606981448017,1.7738876409762803,1.3369439983642986,1.7808220439868903,1.0743020673164694,1.0955851687876608
1941-05-31,1.318706766723486,1.7863669405305482,1.3575289251071139,1.7975297164035753,1.102448781480161,1.121428927334193
1941-06-30,1.3729319889711558,1.8968251539313141,1.4724641115513077,1.9085559368669585,1.164365612394431,1.1555102738648066
1941-07-31,1.5162935472595238,2.092262636841473,1.7450054388865623,1.9796973594136742,1.2596258562412566,1.2726050629771708
1941-08-31,1.4987515472112782,2.0469337668143024,1.7381632725606881,1.9934839718246309,1.2489051805787872,1.2437563788045412
1941-09-30,1.4526739296438147,2.010365295070165,1.7041387265003127,1.9931849492288571,1.2213505855796774,1.2229893785476418
1941-10-31,1.367163731449261,1.8830026225315848,1.6008679196743938,1.8715926945861001,1.1809751779215842,1.1904639760251672
1941-11-30,1.3532651449553479,1.8057449079317365,1.5567271885252119,1.8286452570234328,1.1740475775278962,1.1696451420124392
1941-12-31,1.2789695352321544,1.6606551103243294,1.3588453686830182,1.742971398086628,1.131419084035436,1.0603605178136488
1942-01-31,1.364810133528331,1.8356167507827696,1.5553941981908046,1.7116902904051672,1.1372719149571513,1.1732422570980188
1942-02-28,1.3720927604008382,1.8153552130876294,1.5291298117601548,1.6723214137258482,1.10545787040814,1.145391832399026
1942-03-31,1.3065574938858129,1.7525402920043711,1.4417125186814503,1.5745859333434684,1.0217338076770386,1.0751415151424966
1942-04-30,1.2257599784639142,1.693576073879884,1.3879279914595202,1.50231086441707,0.9757210473821109,1.0443784909697242
1942-05-31,1.227479719713699,1.7222771076039265,1.4106927863754393,1.614626629262619,1.0239899675961037,1.0511021996945873
1942-06-30,1.239788886342988,1.7463252628574,1.4409211114018923,1.6636628399933249,1.0505502193756115,1.0801525622897463
1942-07-31,1.3038884513446931,1.8118508793703354,1.5150853210057476,1.7083488238755458,1.0958383887826748,1.1615679815197737
1942-08-31,1.3332063831731786,1.8614955934650828,1.5528806394235568,1.7377956325526884,1.1148884433332729,1.2095500317003924
1942-09-30,1.3624902613795775,1.913064605890846,1.645957199189326,1.7834596883892757,1.1465624240083712,1.253241397945474
1942-10-31,1.4754611414018652,2.0573345470148925,1.8846769556165506,1.8782737558031148,1.2370307855123277,1.4043058628124234
1942-11-30,1.4589728631466994,2.0108038115650566,1.8084511961466392,1.898592921293393,1.2396891646703936,1.3416724170251266
1942-12-31,1.4968623884026193,2.09108314293798,1.855671665329224,1.9917227012686767,1.3134630668599288,1.4221526369603787
1943-01-31,1.6725191896816667,2.3806145149091726,2.2978689448188514,2.098265923727642,1.4190392281741298,1.5602678346040597
1943-02-28,1.8543956164444098,2.6003976081546174,2.6998420529428477,2.1993687689965347,1.518691257972658,1.7355295999294644
1943-03-31,2.057841359524526,2.9080324463921334,3.1047319659385804,2.290649171016198,1.6273885473795349,1.9282497488240318
1943-04-30,2.038326849912155,2.9866918160345945,3.3583326823803756,2.288280639773367,1.6476951016737367,1.9766488175195147
1943-05-31,2.2187473127052795,3.258788400550794,3.8048633124950353,2.403367426270129,1.741971272306203,2.1176866639471674
1943-06-30,2.212534820229705,3.2928036338757427,3.820767641141265,2.4555469364618796,1.7760982315019538,2.1173224218409685
1943-07-31,2.099082672252786,3.069192631902875,3.480524461929994,2.3384689140783137,1.7107893234313953,2.0018246010519656
1943-08-31,2.1063475973814527,3.0703650634882624,3.505138730924763,2.3737002867378174,1.7330432709505907,2.006084483803004
1943-09-30,2.1686091260124507,3.1645914969216538,3.6945529228052063,2.4259478037492035,1.7805719826564108,2.05806213277834
1943-10-31,2.153381152729591,3.154126192841334,3.7250329844183496,2.390924395306476,1.7635461533582504,2.0661482588980262
1943-11-30,2.001201706666191,2.9022786787215322,3.3364263683848745,2.2768414377844275,1.6470180777289505,1.8721059451636182
1943-12-31,2.1465109637889297,3.2116673904306055,3.7171292991494305,2.4071405195859548,1.7615105394022785,2.0101119791232445
1944-01-31,2.2529457099284036,3.361726125913695,3.920136598693177,2.425981208432754,1.790071671288147,2.1079903617226927
1944-02-29,2.2835970363119795,3.393911291843193,3.9478284436263453,2.427308220153767,1.8041953367746104,2.1587107178161027
1944-03-31,2.3294607991892695,3.519424919238138,4.242146949755576,2.480840075641038,1.8504855765302366,2.233205665977218
1944-04-30,2.283127823893395,3.418410385206165,4.075977811586701,2.446160412223652,1.8157630651722232,2.1978852851641224
1944-05-31,2.4159830319657516,3.666327179982857,4.363725541173476,2.559236623439103,1.9070196853016486,2.3176634395497118
1944-06-30,2.643621785203629,4.023819744321446,4.831364188793332,2.6858369407273885,2.0061522896026838,2.4897476322728385
1944-07-31,2.6490835078118593,3.9825635204829184,4.761715242647687,2.6412251891419065,1.9764351557367992,2.4685150644648157
1944-08-31,2.770226096624096,4.156625441709145,4.852959230127302,2.677174905191317,2.0011900060624024,2.4966018288682967
1944-09-30,2.81421451681239,4.154089900189702,4.841865365327231,2.686215724846148,1.9961470072471252,2.4906549233119324
1944-10-31,2.819437698955594,4.176904161921544,4.816861972580681,2.6844374500362993,2.0129106498139864,2.488488053528651
1944-11-30,2.8465155786163634,4.300720131993385,4.996203377543805,2.7157245685164724,2.0584124950530316,2.56725367739894
1944-12-31,3.017833118715389,4.597628947745813,5.52284817936732,2.78417440626593,2.1514712655418844,2.817355530651145
1945-01-31,3.1810767656060603,4.827827631530497,5.750201747519156,2.8048580379300794,2.216832962589047,2.913255495558979
1945-02-28,3.393057359112517,5.251942633305188,6.366019603669719,2.949406396914806,2.3532790314364025,3.203919736117385
1945-03-31,3.233899217568626,4.919132280575272,5.965959833716303,2.8548808713000837,2.2501536377207962,3.0515060703505448
