distribution,loglik,aic,bic,ks_stat,ks_pvalue,loc,scale,df_param
Student-t,-3593.0557037482236,7192.111407496447,7207.369111889544,0.02151828101480191,0.629489486060817,1.1505242612593953,3.832645490663041,4.292754156848934
Normal,-3680.3569043253588,7364.7138086507175,7374.885611579449,0.062263330149140345,0.00018045176707935667,0.9581884518828451,5.263825477234097,
