parameter,estimate,std_error,z_stat,pvalue
const,0.9525045094807608,0.16031162951534708,5.9415808594820305,2.822864346398741e-09
ar.L1,-0.22395616502102614,0.10875589754917786,-2.059255360563379,0.03946978233594549
ar.L2,-0.7275236674663498,0.06279146551120621,-11.586346353653918,4.833123649643838e-31
ma.L1,0.31625163889489044,0.11018372253970532,2.870221041777994,0.004101849478576678
ma.L2,0.733822594111237,0.0661481203111675,11.09362731184591,1.3471216538951263e-28
sigma2,27.253231648659593,0.655552585134594,41.57291461685583,0.0
