parameter,estimate,std_error,t_stat,pvalue
omega,0.9191740601632518,0.29109700045315184,3.157621200948034,0.0015906209931751463
alpha[1],0.123149486995925,0.02210255902845428,5.571729809086153,2.522223770014035e-08
beta[1],0.8436757725954134,0.023306054073742175,36.19985476417232,6.120055089711043e-287
nu,8.747404324285494,1.9635906513680614,4.45480035168789,8.397129854957958e-06
