parameter,estimate,std_error,z_stat,pvalue
const,1.4243695572807735,0.25190945508755463,5.654291764418743,1.564901908443533e-08
ar.L1,1.0019779835143494,0.0997750442656239,10.042370723954335,9.925940252541677e-24
ar.L2,-0.42294758993472586,0.08030723677930793,-5.266618637334352,1.389594574634686e-07
ma.L1,-0.8293751159769749,0.10464027724096345,-7.925964435922768,2.2638238119310257e-15
ma.L2,0.24623089602106465,0.08756637000221268,2.811934490545203,0.004924453159344066
sigma2,62.647292340114085,1.1447860455340835,54.72401815562566,0.0
