distribution,loglik,aic,bic,ks_stat,ks_pvalue,loc,scale,df_param
Student-t,-3943.524829278865,7893.04965855773,7908.307362950827,0.020441963417602987,0.6921711556615587,1.5335915293152431,4.486778844940042,2.807372978977388
Normal,-4191.999625833201,8387.999251666402,8398.171054595134,0.0990844275918521,1.1517788282932421e-10,1.420314728033473,8.076922687486395,
