date,strategy,portfolio,weight
1946-07-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
1946-07-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
1946-07-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
1946-07-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
1946-07-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
1946-07-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
1946-07-31,mv_improved_shrinkage,big_hibm_vwret_pct,1.4187322052150189e-08
1946-07-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.34999999981857466
1946-07-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.26452219779049146
1946-07-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.34999999988083674
1946-07-31,mv_improved_shrinkage,small_hibm_vwret_pct,1.1429770207717739e-09
1946-07-31,mv_improved_shrinkage,small_lobm_vwret_pct,0.035477787180035227
1946-07-31,mv_plugin_sample,big_hibm_vwret_pct,-6.652755214153185e-23
1946-07-31,mv_plugin_sample,big_lobm_vwret_pct,-2.3440164183494678e-23
1946-07-31,mv_plugin_sample,me1_bm2_vwret_pct,-2.2169811231252377e-23
1946-07-31,mv_plugin_sample,me2_bm2_vwret_pct,1.0
1946-07-31,mv_plugin_sample,small_hibm_vwret_pct,-1.585892394357982e-23
1946-07-31,mv_plugin_sample,small_lobm_vwret_pct,4.181736449995084e-23
1946-07-31,stat_arb_cointegration,big_hibm_vwret_pct,-0.0
1946-07-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
1946-07-31,stat_arb_cointegration,me1_bm2_vwret_pct,-0.0
1946-07-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
1946-07-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
1946-07-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
1946-08-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
1946-08-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
