response_portfolio,share_from_small_lobm_vwret_pct,share_from_me1_bm2_vwret_pct,share_from_small_hibm_vwret_pct,share_from_big_lobm_vwret_pct,share_from_me2_bm2_vwret_pct,share_from_big_hibm_vwret_pct
small_lobm_vwret_pct,0.982638815657184,0.00476097317971058,0.00020395692864045553,0.0009054494273478029,0.009556779929839469,0.001934024877277501
me1_bm2_vwret_pct,0.8719719036942947,0.10788769267964417,0.0022203836153443586,0.00140485737120908,0.015153549584274563,0.0013616130552336248
small_hibm_vwret_pct,0.7624556156528001,0.14647759048748027,0.07093228894074197,0.0015171831256519147,0.018557759707439753,5.956208588548857e-05
big_lobm_vwret_pct,0.7184314793966501,0.01680459961123557,0.004334870707632439,0.2548612611279722,0.002168988554875478,0.003398800601634433
me2_bm2_vwret_pct,0.6501275049631802,0.12819323685963965,0.008656289852270783,0.09584299898805561,0.11490927135452432,0.0022706979823294547
big_hibm_vwret_pct,0.6379708676215486,0.17443412567279268,0.03663855738351453,0.036010068154515365,0.03521189334197004,0.07973448782565887
